city_id,Ename,Estate_name,state_name,Ecountry_name,country_name,Econtinent_name,continent_name,area,population,population_acc_to_year,is_country_capital,is_state_capital,Eother_names,other_names,EGWCR_ranking,GWCR_ranking,is_largest,is_populous,Ecity_type,city_type,name
90,Minsk,0,0,Belarus,బెలారస్,Europe,యూరోప్,409.5,2107000,2020,1,0,0,0,0,0,1,1,Metropolitan,మహానగరం ,మిన్స్క్
91,Bucharest,Romania,రొమేనియా,Romania,రొమేనియా,Europe,యూరోప్,1811,1803000,2020,1,0,"Little Paris , Paris of the East","లిటిల్ ప్యారిస్, ప్యారిస్ ఆఫ్ ద ఈస్ట్",Beta +,బీటా +,1,1,Metropolis,మహానగరం ,బుకారెస్ట్
92,Nashville,U.S. state of Tennessee,యు.ఎస్. టేనస్సీ రాష్ట్రం,United States,యునైటెడ్ స్టేట్స్ ,North America,ఉత్తర అమెరికా,1362.2,1249000,2020,1,1,"Music City, Country Music Capital, Athens of the South","మ్యుజిక్ సిటీ, కంట్రి మ్యుజిక్ కాపిటల్, అథెన్స్ ఆఫ్ ద సౌథ్",Gamma,గామా,0,23,Metropolitan,మహానగరం ,నాష్విల్
93,Düsseldorf, North Rhine-Westphalia, నార్త్ రైన్-వెస్ట్ఫాలియా,Germany,జర్మనీ,Europe,యూరోప్,217.41,619000,2020,0,1,0,0,Beta +,బీటా +,7,7,Metropolitan,మహానగరం ,డుసెల్డార్ఫ్
94,Manchester,Greater Manchester,గ్రేటర్ మాంచెస్టర్,England,ఇంగ్లాండ్,Europe,యూరోప్,115.6,553000,2019,0,1,"Cottonopolis, Warehouse City, Madchester","కాటనోపోలిస్, వేర్హౌస్ సిటీ, మాడ్చెస్టర్",Beta −,బీటా -,3,5,Metropolis,మహానగరం ,మాంచెస్టర్
95,Sacramento,California,కాలిఫోర్నియా,United States,యునైటెడ్ స్టేట్స్ ,North America,ఉత్తర అమెరికా,258,501000,2019,0,1,"Capital city,River city , The city of Trees","క్యాపిటల్ సిటీ, రివర్ సిటీ, ద సిటీ ఒఫ్ ట్రీస్",Gamma -,గామా -,27,36,Metropolitan,మహానగరం ,శాక్రమెంటో
96,Glasgow,Glasgow,గ్లాస్గో,Scotland,స్కాట్లాండ్,Europe,యూరోప్,175,1673000,2020,1,0,"Glesca,Glesga, The Dear Green Place","గ్లెస్కా, గ్లెస్గా, ది డియర్ గ్రీన్ ప్లేస్",Gamma +,గామా +,3,1,Metropolis,మహానగరం ,గ్లాస్గో
97,Mexico City,Mexico,మెక్సికో,United States,యునైటెడ్ స్టేట్స్ ,North America,ఉత్తర అమెరికా,1485,9209944,2020,0,1,0,0,Alpha,ఆల్ఫా,1,2,Metropolis,మహానగరం ,మెక్సికో నగరం
98,Salt Lake City,Utah,ఉటా,United States,యునైటెడ్ స్టేట్స్ ,North America,ఉత్తర అమెరికా,287,200567,2019,0,1,The Crossroads of the West,ద క్రాస్రోడ్స్ ఆఫ్ ద వెస్ట్,Gamma -,గామా -,0,114,Metropolitan,మహానగరం ,సాల్ట్ లకే సిటీ
99,Raleigh,North Carolina,ఉత్తర కరొలినా,United States,యునైటెడ్ స్టేట్స్ ,North America,ఉత్తర అమెరికా,147.64,474069,2019,0,1,City of Oaks,సిటీ ఆఫ్ ఓట్స్,0,0,11,41,Metropolitan,మహానగరం ,రాలే
100,Kracow,0,0,Poland,పోలాండ్,Europe,యూరోప్,327,767000,2019,0,1,0,0,0,0,2,2,Metropolis,మహానగరం ,క్రాకౌ
